"","x"
"1","Acrochordus_arafurae"
"2","Alligator_mississippiensis"
"3","Apalone_ferox"
"4","Chrysemys_dorbignyi"
"5","Chrysemys_picta"
"6","Crocodylus_porosus"
"7","Deronectes_algibensis"
"8","Deronectes_angusi"
"9","Deronectes_aubei"
"10","Deronectes_bicostatus"
"11","Deronectes_brannanii"
"12","Deronectes_depressicollis"
"13","Deronectes_fairmairei"
"14","Deronectes_hispanicus"
"15","Deronectes_lareynii"
"16","Deronectes_latus"
"17","Deronectes_moestus"
"18","Deronectes_opatrinus"
"19","Deronectes_platynotus"
"20","Deronectes_semirufus"
"21","Deronectes_wewalkai"
"22","Elseya_irwini"
"23","Elusor_macrurus"
"24","Emydura_macquarii"
"25","Hydrophis_curtus"
"26","Hydrophis_elegans"
"27","Ilybius_chalconatus"
"28","Ilybius_erichsonii"
"29","Ilybius_hozgargantae"
"30","Ilybius_meridionalis"
"31","Ilybius_montanus"
"32","Ilybius_neglectus"
"33","Ilybius_pederzani"
"34","Ilybius_subtilis"
"35","Rheodytes_leukops"
"36","Trachemys_scripta"
