study_ID,study_name,species,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,T,mean,sd,n,se,shared_group,T_b,source
13,013_Calosi_etal_2012,Deronectes algibensis,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,0.546166667,0.2745,17,NA,1,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes angusi,adult,wild,0.01,aerial,individual,voluntary,mean,14.5,14.5,2.563166667,4.451833333,15,NA,2,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes angusi,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,3.768833333,4.523333333,12,NA,2,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes aubei,adult,wild,0.01,aerial,individual,voluntary,mean,14.5,14.5,1.0725,0.737333333,13,NA,3,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes aubei,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,0.763166667,0.471833333,13,NA,3,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes bicostatus,adult,wild,0.01,aerial,individual,voluntary,mean,14.5,14.5,1.776166667,3.043,15,NA,4,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes bicostatus,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,1.268,0.916,16,NA,4,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes brannanii,adult,wild,0.01,aerial,individual,voluntary,mean,14.5,14.5,1.001833333,0.684,15,NA,5,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes brannanii,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,1.939,1.871333333,12,NA,5,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes depressicollis,adult,wild,0.01,aerial,individual,voluntary,mean,14.5,14.5,3.342833333,3.184,16,NA,6,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes depressicollis,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,1.057833333,0.762333333,11,NA,6,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes fairmairei,adult,wild,0.01,aerial,individual,voluntary,mean,14.5,14.5,2.837333333,1.9435,12,NA,7,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes fairmairei,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,1.0435,0.756333333,18,NA,7,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes hispanicus,adult,wild,0.01,aerial,individual,voluntary,mean,14.5,14.5,1.458666667,1.860166667,16,NA,8,17.25,TableS3
13,013_Calosi_etal_2012,Deronectes hispanicus,adult,wild,0.01,aerial,individual,voluntary,mean,20,20,1.487666667,2.121,17,NA,8,17.25,TableS3
