study_ID,study_name,species,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,T,mean,sd,n,se,shared_group,T_b,source
120,120_Uriona_etal_2009,Alligator mississippiensis,juvenile,captive,242,aerial,individual,voluntary,mean,25,22,5.227272727,0.561219975,7,0.212121212,1,25,Fig3A
120,120_Uriona_etal_2009,Alligator mississippiensis,juvenile,captive,242,aerial,individual,voluntary,mean,25,28,2.651515152,0.280609988,7,0.106060606,1,25,Fig3A
99,099_Rodgers&Franlin_2017,Crocodylus porosus,juveniles,captive,488,aerial,individual,fright,mean,28,28,18.5,8.313843876,12,2.4,1,31.40909091,In text pg.3559
99,099_Rodgers&Franlin_2017,Crocodylus porosus,juveniles,captive,488,aerial,individual,fright,mean,34,34,9,3.741657387,14,1,1,31.40909091,In text pg.3559
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,28,28,6.666666667,4.614434491,11,1.391304348,1,31.40909091,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,28,31.5,4,0.672938363,11,0.202898551,1,27.68181818,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,28,35,2.463768116,0.672938363,11,0.202898551,1,31.40909091,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,31.5,28,8.202898551,1.826546986,11,0.550724638,2,31.40909091,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,31.5,31.5,4.637681159,3.653093972,11,1.101449275,2,24.04545455,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,31.5,35,2.173913043,0.672938363,11,0.202898551,2,31.40909091,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,35,28,7.768115942,4.710568543,11,1.420289855,3,31.40909091,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,35,31.5,4.608695652,2.787887505,11,0.84057971,3,19.90909091,Fig2B
101,101_Rodgers_etal_2015,Crocodylus porosus,juveniles,captive,710,aerial,individual,fright,mean,35,35,3.391304348,1.53814483,11,0.463768116,3,31.40909091,Fig2B
