,Urodela,Squamata,Testudines,Crocodilia
,0.362796,0.460085,0.290323,0.322625
,0.381395,0.496334,0.684211,0.30092
,0.303792,0.689419,0.325873,0.232352
,0.400948,0.431057,0.183609,0.241221
,0.277992,0.269517,0.308642,0.250429
,0.192742,0.325767,0.338164,0.196057
,,0.214289,0.37051,0.150005
,,0.243478,0.016476,0.114771
,,0.140959,0.070694,0.224998
,,0.210493,0.09335,0.306046
,,0.314327,0.341995,0.41629
,,0.460235,0.280504,
,,0.331298,0.287625,
,,0.36128,0.295985,
,,0.238484,0.86285,
,,0.320094,0.972595,
,,0.194444,1.087724,
,,0.251976,1.508287,
,,0.326531,,
,,0.429631,,
mean,0.319944167,0.3354849,0.400654706,0.250519455
se,0.031820001,0.028974279,0.094325367,0.025382049
,,,,
