study_ID,study_name,species,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,T,mean,sd,n,se,shared_group,T_b,source
90,090_Prassack_etal_2001,Apalone ferox,unspecified,wild,1123.3,bimodal,individual,voluntary,mean,15,15,18.6,11.7,9,3.9,1,20,Table2
90,090_Prassack_etal_2001,Apalone ferox,unspecified,wild,1123.3,bimodal,individual,voluntary,mean,25,25,5.4,3,9,1,1,20,Table2
128,128_Santos_etal_1990,Chrysemys dorbignyi,adult,wild,1755,bimodal,individual,voluntary,mean,18,18,9.4,6.7,6,NA,1,21.7,Table1
128,128_Santos_etal_1990,Chrysemys dorbignyi,adult,wild,1755,bimodal,individual,voluntary,mean,25.4,25.4,4.1,5.2,10,NA,1,21.7,Table1
90,090_Prassack_etal_2001,Chrysemys picta,unspecified,wild,295.4,bimodal,individual,voluntary,mean,15,15,5.7,2.984962311,11,0.9,2,20,Table2
90,090_Prassack_etal_2001,Chrysemys picta,unspecified,wild,295.4,bimodal,individual,voluntary,mean,25,25,3.9,2.653299832,11,0.8,2,20,Table2
107,107_Schaffer_etal_2016,Elseya irwini,adult,wild,3813,bimodal,individual,voluntary,mean,17,17,97.4,30.3,9,10.1,1,21,Table1
107,107_Schaffer_etal_2016,Elseya irwini,adult,wild,3813,bimodal,individual,voluntary,mean,25,25,25.1,4.8,9,1.6,1,21,Table1
116,116_Storey_etal_2008,Elseya albagula,juveniles,wild,133.3,bimodal,individual,voluntary,mean,NA,20,27.6,32.45454942,7,12.26666667,1,25,Fig2A
116,116_Storey_etal_2008,Elseya albagula,juveniles,wild,133.3,bimodal,individual,voluntary,mean,NA,25,15.33333333,5.644269464,7,2.133333333,1,25,Fig2A
116,116_Storey_etal_2008,Elseya albagula,juveniles,wild,133.3,bimodal,individual,voluntary,mean,NA,30,9.333333333,4.938735781,7,1.866666667,1,25,Fig2A
23,023_Clark_etal_2008,Elusor macrurus,juvenile,wild,29.88,bimodal,individual,voluntary,mean,17,17,765,521.7413152,6,213,1,22.5,In text pg. 304
23,023_Clark_etal_2008,Elusor macrurus,juvenile,wild,29.88,bimodal,individual,voluntary,mean,17,28,8.36,1.420704051,6,0.58,1,22.5,In text pg. 304
23,023_Clark_etal_2008,Elusor macrurus,juvenile,wild,30.04,bimodal,individual,voluntary,mean,28,17,125,55.56077753,7,21,2,22.5,In text pg. 304
23,023_Clark_etal_2008,Elusor macrurus,juvenile,wild,30.04,bimodal,individual,voluntary,mean,28,28,6.78,2.539921259,7,0.96,2,22.5,In text pg. 304
93,093_Priest&Franklin_2002,Emydura macquarii,adult,wild,1595,bimodal,individual,voluntary,mean,23,15,32.55813953,16.64050588,5,7.441860465,1,22.66666667,Fig1B
93,093_Priest&Franklin_2002,Emydura macquarii,adult,wild,1595,bimodal,individual,voluntary,mean,23,23,4.88372093,2.600079044,5,1.162790698,1,22.66666667,Fig1B
93,093_Priest&Franklin_2002,Emydura macquarii,adult,wild,1595,bimodal,individual,voluntary,mean,23,30,6.511627907,3.640110661,5,1.627906977,1,22.66666667,Fig1B
93,093_Priest&Franklin_2002,Rheodytes leukops,adult,wild,1325,bimodal,individual,voluntary,mean,23,15,98.94736842,55.43582049,6,22.63157895,1,22.66666667,Fig1A
93,093_Priest&Franklin_2002,Rheodytes leukops,adult,wild,1325,bimodal,individual,voluntary,mean,23,23,35.78947368,19.33807692,6,7.894736842,1,22.66666667,Fig1A
93,093_Priest&Franklin_2002,Rheodytes leukops,adult,wild,1325,bimodal,individual,voluntary,mean,23,30,15.26315789,11.60284615,6,4.736842105,1,22.66666667,Fig1A
97,097_Reyes&Milsom_2009,Trachemys scripta elegans,adult,captive,1110,aerial,individual,voluntary,mean,9,9,55.8,1.414213562,8,0.5,1,14.83333333,Table2
97,097_Reyes&Milsom_2009,Trachemys scripta elegans,adult,captive,1110,aerial,individual,voluntary,mean,14.7,14.7,51.3,3.959797975,8,1.4,1,14.83333333,Table2
97,097_Reyes&Milsom_2009,Trachemys scripta elegans,adult,captive,1110,aerial,individual,voluntary,mean,20.8,20.8,54,1.959591794,6,0.8,1,14.83333333,Table2
