study_ID,study_name,species,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,T,mean,sd,n,se,shared_group,T_b,source
92,092_Pratt&Franklin_2010,Acrochordus arafurae,juvenile,captive,57,bimodal,individual,voluntary,mean,28,20,53.84615385,7.653749516,11,2.307692308,1,27.14285714,Fig2
92,092_Pratt&Franklin_2010,Acrochordus arafurae,juvenile,captive,57,bimodal,individual,voluntary,mean,28,26,43.07692308,8.291561976,11,2.5,1,27.14285714,Fig2
92,092_Pratt&Franklin_2010,Acrochordus arafurae,juvenile,captive,57,bimodal,individual,voluntary,mean,28,32,19.61538462,7.015937057,11,2.115384615,1,27.14285714,Fig2
11,011_Bruton_etal_2012,Acrochordus arafurae,juvenile,captive,85,bimodal,individual,voluntary,mean,24,24,50.17857143,8.081220356,8,2.857142857,1,27.14285714,fig1b
11,011_Bruton_etal_2012,Acrochordus arafurae,juvenile,captive,85,bimodal,individual,voluntary,mean,24,32,26.96428571,5.555838995,8,1.964285714,1,27.14285714,fig1b
11,011_Bruton_etal_2012,Acrochordus arafurae,juvenile,captive,85,bimodal,individual,voluntary,mean,32,24,56.60714286,10.17857143,9,3.392857143,2,27.14285714,fig1b
11,011_Bruton_etal_2012,Acrochordus arafurae,juvenile,captive,85,bimodal,individual,voluntary,mean,32,32,32.32142857,6.964285714,9,2.321428571,2,27.14285714,fig1b
119,119_Udyawer_etal_2016,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,21,39.78947368,16.05944635,11,4.842105263,1,25.5,Fig1B
119,119_Udyawer_etal_2016,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,24,28.42105263,15.36120956,11,4.631578947,1,25.5,Fig1B
119,119_Udyawer_etal_2016,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,27,15.78947368,4.887657586,11,1.473684211,1,25.5,Fig1B
119,119_Udyawer_etal_2016,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,30,11.15789474,3.49118399,11,1.052631579,1,25.5,Fig1B
119,119_Udyawer_etal_2016,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,21,27.36842105,13.31485331,10,4.210526316,2,25.5,Fig1B
119,119_Udyawer_etal_2016,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,24,21.68421053,9.986139979,10,3.157894737,2,25.5,Fig1B
119,119_Udyawer_etal_2016,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,27,14.10526316,4.660198657,10,1.473684211,2,25.5,Fig1B
119,119_Udyawer_etal_2016,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,30,10.94736842,1.997227996,10,0.631578947,2,25.5,Fig1B
3,003_Aubret_etal_2015,Natrix maura ,juvenile,wild,NA,aerial,individual,fright,mean,18,10,57.27272727,34.54246399,231,2.272727273,1,20,fig1
3,003_Aubret_etal_2015,Natrix maura ,juvenile,wild,NA,aerial,individual,fright,mean,18,20,11.13636364,13.81698559,231,0.909090909,1,20,fig1
3,003_Aubret_etal_2015,Natrix maura ,juvenile,wild,NA,aerial,individual,fright,mean,18,30,3.636363636,10.3627392,231,0.681818182,1,20,fig1
